RAIN4PE,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_lsraw,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2_ls,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2-ptraw,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt,CCCma-CanESM2_pt
48.67,253.43,69.12,41.47,69.93,57.48,29.73,20.6,57.34,23.33,6.77,57.47,41.38,54.68,62.2,74.49,59.04,23.57,74.5,36.99,20.02,253.43,69.12,41.47,69.93,57.48,29.73,20.6,57.34,23.33,6.77,57.05,41.91,54.02,63.08,73,58.96,34.06,73.48,34.47,48.26
114.86,161.37,59.17,42.33,41.88,24.4,12.35,39.92,38.43,64.52,17.79,54.24,35.78,47.51,44.32,29.99,27.8,34.91,42.14,65.04,51.49,161.37,59.17,42.33,41.88,24.4,12.35,39.92,38.43,64.52,17.79,47.71,34.71,50.1,43.96,33.83,29.85,38.47,48.05,64.69,67.39
102.64,226.35,149.41,100.94,81.2,90.64,40.72,62.28,136.33,85.13,53.57,149.78,110.6,105.1,142.36,129.15,98.19,84.28,128.55,105.02,205.62,226.35,149.41,100.94,81.2,90.64,40.72,62.28,136.33,85.13,53.57,148.15,112.24,108.91,141.17,119.82,110.59,99.46,130.96,107.54,211.25
85.5,200.76,184.69,62.03,103.2,95.58,54.12,54.07,197.53,88.75,42.01,137.4,168.16,77.76,173.02,160.83,195.6,67.39,240.39,131.82,108.48,200.76,184.69,62.03,103.2,95.58,54.12,54.07,197.53,88.75,42.01,137.76,168.15,86.1,172.07,160.9,188.77,88.98,232.2,122.75,113.86
105.82,253.51,178.04,164.38,104.66,59.48,34.88,139.67,131.66,104.65,46.14,163.57,149.86,227.02,149.55,108.36,84.92,206.49,181.44,141.12,73.18,253.51,178.04,164.38,104.66,59.48,34.88,139.67,131.66,104.65,46.14,164.26,146.75,196.92,151.2,110.67,111.11,190.46,181.08,137.49,73.5
139.41,143.63,110.11,62.41,63.56,58.37,69.83,78.7,59.44,77.73,135.78,113.12,199.83,98.92,125.36,114.31,156.25,159.56,87.91,114.97,210.49,143.63,110.11,62.41,63.56,58.37,69.83,78.7,59.44,77.73,135.78,113.65,171.18,109.47,126.33,129.67,148.55,156.67,93.88,126.32,213.75
53.83,108.31,50.16,49.13,48.05,15.24,62.62,27.9,54.08,57.48,76.38,57.85,59.99,49.77,65.03,24.3,40.72,56.51,57.47,74.23,92.39,108.31,50.16,49.13,48.05,15.24,62.62,27.9,54.08,57.48,76.38,59.38,60.29,49.69,67.2,26.48,42.23,56.51,57.8,73.17,94.71
38.26,76.65,38.65,48.39,37.29,15.76,72.75,8.77,8.9,30.63,2.62,14.17,14.18,41,25.36,19.28,16.15,13.21,12.99,40.15,7.01,76.65,38.65,48.39,37.29,15.76,72.75,8.77,8.9,30.63,2.62,9.61,11.65,47.56,33.3,14.32,14.51,10.07,12.52,43.93,5.68
35.4,63.78,36.2,46.14,23.46,27.27,148.14,24.23,7.46,1.07,0.66,10.09,14.65,35.94,14.17,26.93,22.33,26.93,8.14,3,8.14,63.78,36.2,46.14,23.46,27.27,148.14,24.23,7.46,1.07,0.66,10.11,6.18,60.14,9.74,27.3,21.69,37.2,6.07,3.82,13.92
8.77,165.53,26.67,7.4,37.72,8.79,143.59,18.65,5.85,4.6,3.2,14.37,7.3,4.49,19.05,5.67,20.14,11.09,5.28,9.24,14.85,165.53,26.67,7.4,37.72,8.79,143.59,18.65,5.85,4.6,3.2,12.89,4.09,5.65,14.69,4.27,25.32,6.61,4.29,6.82,21.12
